iter	Passed	Remaining
545	12431	10336
546	12452	10312
547	12475	10290
548	12496	10265
549	12518	10242
550	12542	10221
551	12565	10198
552	12588	10175
553	12609	10151
554	12630	10127
555	12650	10101
556	12672	10078
557	12693	10054
558	12718	10033
559	12740	10010
560	12759	9984
561	12779	9960
562	12801	9936
563	12821	9911
564	12842	9887
565	12862	9862
566	12880	9836
567	12900	9811
568	12921	9787
569	12944	9764
570	12964	9740
571	12986	9717
572	13004	9690
573	13024	9666
574	13043	9640
575	13063	9615
576	13084	9592
577	13105	9568
578	13125	9543
579	13145	9518
580	13167	9496
581	13187	9471
582	13209	9448
583	13233	9426
584	13256	9403
585	13276	9379
586	13304	9360
587	13387	9380
588	13439	9377
589	13458	9352
590	13481	9329
591	13503	9306
592	13524	9282
593	13544	9257
594	13566	9234
595	13587	9210
596	13608	9186
597	13634	9165
598	13658	9143
599	13681	9120
600	13702	9096
601	13724	9073
602	13746	9050
603	13768	9026
604	13793	9005
605	13816	8983
606	13838	8959
607	13860	8936
608	13882	8912
609	13904	8889
610	13927	8867
611	13950	8844
612	13973	8821
613	13996	8799
614	14018	8775
615	14041	8752
616	14062	8729
617	14086	8707
618	14109	8684
619	14131	8661
620	14153	8637
621	14176	8615
622	14195	8590
623	14218	8567
624	14241	8544
625	14263	8521
626	14285	8498
627	14307	8475
628	14328	8451
629	14353	8429
630	14376	8407
631	14397	8383
632	14421	8361
633	14443	8337
634	14463	8313
635	14489	8292
636	14510	8268
637	14532	8245
638	14554	8222
639	14578	8200
640	14602	8178
641	14622	8154
642	14644	8130
643	14663	8106
644	14687	8084
645	14709	8060
646	14729	8036
647	14752	8013
648	14774	7990
649	14798	7968
650	14820	7945
651	14840	7921
652	14862	7898
653	14886	7875
654	14911	7853
655	14932	7830
656	14956	7808
657	14979	7785
658	15002	7762
659	15023	7739
660	15047	7717
661	15069	7694
662	15092	7671
663	15115	7648
664	15137	7625
665	15160	7602
666	15183	7580
667	15206	7557
668	15228	7534
669	15251	7512
670	15273	7488
671	15295	7465
672	15317	7442
673	15339	7419
674	15360	7395
675	15380	7371
676	15404	7349
677	15427	7326
678	15448	7303
679	15470	7280
680	15492	7257
681	15515	7234
682	15537	7211
683	15559	7188
684	15579	7164
685	15600	7140
686	15624	7118
687	15647	7096
688	15670	7073
689	15693	7050
690	15715	7027
691	15737	7004
692	15760	6981
693	15779	6957
694	15801	6934
695	15823	6911
696	15844	6887
697	15865	6864
698	15887	6841
699	15908	6817
700	15931	6795
701	15953	6772
702	15974	6748
703	15994	6724
704	16016	6702
705	16037	6678
706	16057	6654
707	16080	6631
708	16101	6608
709	16122	6585
710	16144	6562
711	16169	6540
712	16191	6517
713	16215	6495
714	16237	6472
715	16259	6449
716	16281	6426
717	16303	6403
718	16323	6379
719	16345	6356
720	16366	6333
721	16388	6310
722	16406	6285
723	16424	6261
724	16448	6238
725	16469	6215
726	16490	6192
727	16513	6169
728	16534	6146
729	16555	6123
730	16579	6101
731	16602	6078
732	16624	6055
733	16646	6032
734	16666	6008
735	16687	5985
736	16709	5962
737	16731	5939
738	16752	5916
739	16775	5894
740	16796	5870
741	16817	5847
742	16838	5824
743	16863	5802
744	16884	5779
745	16905	5756
746	16929	5733
747	16950	5710
748	16973	5687
749	16996	5665
750	17017	5642
751	17041	5620
752	17062	5596
753	17082	5573
754	17105	5550
755	17129	5528
756	17153	5506
757	17173	5482
758	17194	5459
759	17216	5436
760	17240	5414
761	17262	5391
762	17287	5369
763	17308	5346
764	17330	5323
765	17352	5300
766	17373	5277
767	17394	5254
768	17418	5232
769	17441	5209
770	17463	5186
771	17486	5164
772	17509	5141
773	17530	5118
774	17552	5095
775	17575	5073
776	17597	5050
777	17618	5027
778	17640	5004
779	17660	4981
780	17684	4958
781	17706	4935
782	17727	4913
783	17750	4890
784	17771	4867
785	17793	4844
786	17816	4821
787	17838	4799
788	17862	4776
789	17883	4753
790	17904	4730
791	17925	4707
792	17946	4684
793	17969	4662
794	17994	4639
795	18015	4617
796	18038	4594
797	18059	4571
798	18083	4549
799	18104	4526
800	18128	4503
801	18150	4480
802	18171	4457
803	18194	4435
804	18216	4412
805	18236	4389
806	18259	4367
807	18280	4343
808	18302	4321
809	18325	4298
810	18347	4275
811	18367	4252
812	18394	4230
813	18415	4208
814	18437	4185
815	18461	4162
816	18481	4139
817	18506	4117
818	18529	4094
819	18551	4072
820	18574	4049
821	18596	4027
822	18620	4004
823	18641	3981
824	18663	3959
825	18687	3936
826	18707	3913
827	18728	3890
828	18748	3867
829	18771	3844
830	18794	3822
831	18817	3799
832	18840	3777
833	18862	3754
834	18883	3731
835	18905	3708
836	18928	3686
837	18951	3663
838	18972	3640
839	18993	3617
840	19017	3595
841	19038	3572
842	19061	3550
843	19084	3527
844	19106	3504
845	19131	3482
846	19153	3459
847	19175	3437
848	19193	3413
849	19215	3390
850	19238	3368
851	19260	3345
852	19283	3323
853	19304	3300
854	19324	3277
855	19347	3254
856	19370	3232
857	19392	3209
858	19414	3186
859	19436	3164
860	19458	3141
861	19480	3118
862	19501	3095
863	19522	3073
864	19544	3050
865	19565	3027
866	19587	3004
867	19611	2982
868	19633	2959
869	19654	2936
870	19676	2914
871	19696	2891
872	19716	2868
873	19738	2845
874	19760	2822
875	19784	2800
876	19808	2778
877	19828	2755
878	19848	2732
879	19870	2709
880	19892	2686
881	19913	2664
882	19935	2641
883	19955	2618
884	19979	2596
885	20001	2573
886	20024	2551
887	20045	2528
888	20067	2505
889	20091	2483
890	20110	2460
891	20131	2437
892	20154	2414
893	20175	2392
894	20198	2369
895	20225	2347
896	20246	2324
897	20271	2302
898	20291	2279
899	20314	2257
900	20335	2234
901	20358	2211
902	20379	2189
903	20401	2166
904	20422	2143
905	20443	2121
906	20465	2098
907	20488	2075
908	20509	2053
909	20534	2030
910	20557	2008
911	20579	1985
912	20602	1963
913	20626	1940
914	20651	1918
915	20673	1895
916	20694	1873
917	20717	1850
918	20740	1828
919	20765	1805
920	20786	1782
921	20807	1760
922	20830	1737
923	20851	1715
924	20872	1692
925	20896	1669
926	20917	1647
927	20938	1624
928	20958	1601
929	20981	1579
930	21003	1556
931	21025	1534
932	21048	1511
933	21069	1488
934	21089	1466
935	21111	1443
936	21133	1420
937	21154	1398
938	21178	1375
939	21199	1353
940	21220	1330
941	21241	1307
942	21267	1285
943	21290	1263
944	21312	1240
945	21335	1217
946	21359	1195
947	21380	1172
948	21404	1150
949	21426	1127
950	21446	1105
951	21469	1082
952	21492	1059
953	21513	1037
954	21536	1014
955	21559	992
956	21581	969
957	21607	947
958	21629	924
959	21653	902
960	21674	879
961	21696	857
962	21718	834
963	21739	811
964	21763	789
965	21784	766
966	21808	744
967	21835	721
968	21857	699
969	21880	676
970	21905	654
971	21926	631
972	21951	609
973	21975	586
974	21995	563
975	22018	541
976	22043	518
977	22065	496
978	22088	473
979	22110	451
980	22134	428
981	22155	406
982	22179	383
983	22203	361
984	22228	338
985	22252	315
986	22273	293
987	22299	270
988	22321	248
989	22344	225
990	22365	203
991	22390	180
992	22412	157
993	22436	135
994	22461	112
995	22485	90
996	22505	67
997	22527	45
998	22550	22
999	22575	0
